2022-09-18 23:50:00.543 [任务线程 - 34] INFO  com.teamtop.system.crossAttackCity.AttackCityLocalEvent - 12345678清理城池完毕,中央服当前时间::2022-09-18 23:50:00
2022-09-18 23:50:00.550 [任务线程 - 34] INFO  com.teamtop.util.exector.schedule.ScheduleFixtime - day event:com.teamtop.system.crossAttackCity.AttackCityLocalEvent@26b3fd41,now:1663516200,dayTime:2350
2022-09-18 23:50:46.919 [任务线程 - 40] INFO  com.teamtop.houtaiHttp.events.kuaFuFenQu.KuaFuFenQuCache - KuaFuFenQuCache size=1
2022-09-18 23:51:46.933 [任务线程 - 26] INFO  com.teamtop.houtaiHttp.events.kuaFuFenQu.KuaFuFenQuCache - KuaFuFenQuCache size=1
2022-09-18 23:52:46.944 [任务线程 - 64] INFO  com.teamtop.houtaiHttp.events.kuaFuFenQu.KuaFuFenQuCache - KuaFuFenQuCache size=1
2022-09-18 23:53:46.981 [任务线程 - 31] INFO  com.teamtop.houtaiHttp.events.kuaFuFenQu.KuaFuFenQuCache - KuaFuFenQuCache size=1
2022-09-18 23:54:46.998 [任务线程 - 51] INFO  com.teamtop.houtaiHttp.events.kuaFuFenQu.KuaFuFenQuCache - KuaFuFenQuCache size=1
2022-09-18 23:55:47.020 [任务线程 - 46] INFO  com.teamtop.houtaiHttp.events.kuaFuFenQu.KuaFuFenQuCache - KuaFuFenQuCache size=1
2022-09-18 23:56:47.025 [任务线程 - 63] INFO  com.teamtop.houtaiHttp.events.kuaFuFenQu.KuaFuFenQuCache - KuaFuFenQuCache size=1
2022-09-18 23:57:47.034 [任务线程 - 12] INFO  com.teamtop.houtaiHttp.events.kuaFuFenQu.KuaFuFenQuCache - KuaFuFenQuCache size=1
2022-09-18 23:58:47.050 [任务线程 - 2] INFO  com.teamtop.houtaiHttp.events.kuaFuFenQu.KuaFuFenQuCache - KuaFuFenQuCache size=1
2022-09-18 23:59:00.685 [任务线程 - 60] INFO  com.teamtop.util.exector.schedule.ScheduleFixtime - day event:com.teamtop.system.event.backstage.BackstageSystemEvent@18879eca,now:1663516740,dayTime:2359
2022-09-18 23:59:00.730 [任务线程 - 49] INFO  com.teamtop.util.exector.schedule.ScheduleFixtime - day event:com.teamtop.system.event.backstage.BackstageSystemEvent@42f45ef4,now:1663516740,dayTime:2359
2022-09-18 23:59:47.059 [任务线程 - 54] INFO  com.teamtop.houtaiHttp.events.kuaFuFenQu.KuaFuFenQuCache - KuaFuFenQuCache size=1
